sentence,start,end,label
i need seven pieces of fried chicken and takoyaki,7 23 41,12 36 49,ORDER_COUNT ORDER ORDER
i need eight pieces of fried chicken and takoyaki,7 23 41,12 36 49,ORDER_COUNT ORDER ORDER
i need nine pieces of fried chicken and takoyaki ,7 22 40,11 35 48,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and crispy pata,7 21 39,10 34 50,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and crispy pata,7 23 41,12 36 52,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and crispy pata,7 22 40,11 35 51,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and crispy pata,7 22 40,11 35 51,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and glazed ham,7 21 39,10 34 49,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and glazed ham,7 23 41,12 36 51,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and glazed ham,7 22 40,11 35 50,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and glazed ham,7 22 40,11 35 50,ORDER_COUNT ORDER ORDER
i need six pieces of fried chicken and glazed ham,7 21 39,10 34 49,ORDER_COUNT ORDER ORDER
i need seven pieces of fried chicken and glazed ham,7 23 41,12 36 51,ORDER_COUNT ORDER ORDER
i need eight pieces of fried chicken and glazed ham,7 23 41,12 36 51,ORDER_COUNT ORDER ORDER
i need nine pieces of fried chicken and glazed ham,7 22 40,11 35 50,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and sushi ,7 21 39,10 34 44,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and sushi,7 23 41,12 36 46,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and sushi,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and sushi,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i need two pieces of fried chicken and beef wellington,7 21 39,10 34 54,ORDER_COUNT ORDER ORDER
i need three pieces of fried chicken and beef wellington,7 23 41,12 36 56,ORDER_COUNT ORDER ORDER
i need four pieces of fried chicken and beef wellington,7 22 40,11 35 55,ORDER_COUNT ORDER ORDER
i need five pieces of fried chicken and beef wellington,7 22 40,11 35 55,ORDER_COUNT ORDER ORDER
i need six pieces of fried chicken and beef wellington,7 21 39,10 34 54,ORDER_COUNT ORDER ORDER
i need seven pieces of fried chicken and beef wellington,7 23 41,12 36 56,ORDER_COUNT ORDER ORDER
i need eight pieces of fried chicken and beef wellington,7 23 41,12 36 56,ORDER_COUNT ORDER ORDER
i need nine pieces of fried chicken and beef wellington,7 22 40,11 35 55,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and spaghetti,7 21 39,10 34 48,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and spaghetti,7 23 41,12 36 50,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and spaghetti,7 22 40,11 35 49,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and spaghetti,7 22 40,11 35 49,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and hamburger,7 21 39,10 34 48,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and hamburger,7 23 41,12 36 50,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and hamburger,7 22 40,11 35 49,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and hamburger,7 22 40,11 35 49,ORDER_COUNT ORDER ORDER
i want six pieces of fried chicken and hamburger,7 21 39,10 34 48,ORDER_COUNT ORDER ORDER
i want seven pieces of fried chicken and hamburger,7 23 41,12 36 50,ORDER_COUNT ORDER ORDER
i want eight pieces of fried chicken and hamburger,7 23 41,12 36 50,ORDER_COUNT ORDER ORDER
i want nine pieces of fried chicken and hamburger,7 22 40,11 35 49,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and sisig,7 21 39,10 34 44,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and sisig,7 23 41,12 36 46,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and sisig,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and sisig,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and milk tea,7 21 39,10 34 47,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and milk tea,7 23 41,12 36 49,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and milk tea,7 22 40,11 35 48,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and milk tea,7 22 40,11 35 48,ORDER_COUNT ORDER ORDER
i want six pieces of fried chicken and milk tea,7 21 39,10 34 47,ORDER_COUNT ORDER ORDER
i want seven pieces of fried chicken and milk tea,7 23 41,12 36 49,ORDER_COUNT ORDER ORDER
i want eight pieces of fried chicken and milk tea,7 23 41,12 36 49,ORDER_COUNT ORDER ORDER
i want nine pieces of fried chicken and milk tea,7 22 40,11 35 48,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and burrito,7 21 39,10 34 46,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and burrito,7 23 41,12 36 48,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and burrito,7 22 40,11 35 47,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and burrito,7 22 40,11 35 47,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and pizza,7 21 39,10 34 44,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and pizza,7 23 41,12 36 46,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and pizza,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and pizza,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i want six pieces of fried chicken and pizza,7 21 39,10 34 44,ORDER_COUNT ORDER ORDER
i want seven pieces of fried chicken and pizza,7 23 41,12 36 46,ORDER_COUNT ORDER ORDER
i want eight pieces of fried chicken and pizza,7 23 41,12 36 46,ORDER_COUNT ORDER ORDER
i want nine pieces of fried chicken and pizza,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and pancit ,7 21 39,10 34 45,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and pancit,7 23 41,12 36 47,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and pancit,7 22 40,11 35 46,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and pancit,7 22 40,11 35 46,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and pulled pork,7 21 39,10 34 50,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and pulled pork,7 23 41,12 36 52,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and pulled pork,7 22 40,11 35 51,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and pulled pork,7 22 40,11 35 51,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and nuggets,7 21 39,10 34 46,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and nuggets,7 23 41,12 36 48,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and nuggets,7 22 40,11 35 47,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and nuggets,7 22 40,11 35 47,ORDER_COUNT ORDER ORDER
i want six pieces of fried chicken and nuggets,7 21 39,10 34 46,ORDER_COUNT ORDER ORDER
i want seven pieces of fried chicken and nuggets,7 23 41,12 36 48,ORDER_COUNT ORDER ORDER
i want eight pieces of fried chicken and nuggets,7 23 41,12 36 48,ORDER_COUNT ORDER ORDER
i want nine pieces of fried chicken and nuggets,7 22 40,11 35 47,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and takoyaki,7 21 39,10 34 47,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and takoyaki,7 23 41,12 36 49,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and takoyaki,7 22 40,11 35 48,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and takoyaki,7 22 40,11 35 48,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and crispy pata,7 21 39,10 34 50,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and crispy pata,7 23 41,12 36 52,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and crispy pata,7 22 40,11 35 51,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and crispy pata,7 22 40,11 35 51,ORDER_COUNT ORDER ORDER
i want six pieces of fried chicken and crispy pata,7 21 39,10 34 50,ORDER_COUNT ORDER ORDER
i want seven pieces of fried chicken and crispy pata,7 23 41,12 36 52,ORDER_COUNT ORDER ORDER
i want eight pieces of fried chicken and crispy pata,7 23 41,12 36 52,ORDER_COUNT ORDER ORDER
i want nine pieces of fried chicken and crispy pata,7 21 40,11 35 51,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and glazed ham,7 21 39,10 34 49,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and glazed ham,7 23 41,12 36 51,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and glazed ham,7 22 40,11 35 50,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and glazed ham,7 22 40,11 35 50,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and sushi,7 21 39,10 34 44,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and sushi,7 23 41,12 36 46,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and sushi,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and sushi,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i want six pieces of fried chicken and sushi,7 21 39,10 34 44,ORDER_COUNT ORDER ORDER
i want seven pieces of fried chicken and sushi,7 23 41,12 36 46,ORDER_COUNT ORDER ORDER
i want eight pieces of fried chicken and sushi,7 23 41,12 36 46,ORDER_COUNT ORDER ORDER
i want nine pieces of fried chicken and sushi,7 22 40,11 35 45,ORDER_COUNT ORDER ORDER
i want two pieces of fried chicken and beef wellington,7 21 39,10 34 53,ORDER_COUNT ORDER ORDER
i want three pieces of fried chicken and beef wellington,7 23 41,12 36 55,ORDER_COUNT ORDER ORDER
i want four pieces of fried chicken and beef wellington,7 22 40,11 35 54,ORDER_COUNT ORDER ORDER
i want five pieces of fried chicken and beef wellington,7 22 40,11 35 54,ORDER_COUNT ORDER ORDER
i need one fried chicken,7 11,10 24,ORDER_COUNT ORDER
i need two spaghetti,7 11,10 20,ORDER_COUNT ORDER
i need three hamburger,7 13,12 20,ORDER_COUNT ORDER
i need four sisig,7 12,11 17,ORDER_COUNT ORDER
i need five milk tea,7 12,11 20,ORDER_COUNT ORDER
i need six burrito,7 11,10 18,ORDER_COUNT ORDER
i need seven pizza,7 13,12 18,ORDER_COUNT ORDER
i need eight nuggets,7 13,13 20,ORDER_COUNT ORDER
i need nine sushi,7 12,11 17,ORDER_COUNT ORDER
i want one fried chicken,7 11,10 24,ORDER_COUNT ORDER
i want two spaghetti,7 11,10 20,ORDER_COUNT ORDER
i want three hamburger,7 13,12 20,ORDER_COUNT ORDER
i want four sisig,7 12,11 17,ORDER_COUNT ORDER
i want five milk tea,7 12,11 20,ORDER_COUNT ORDER
i want six burrito,7 11,10 18,ORDER_COUNT ORDER
i want seven pizza,7 13,12 18,ORDER_COUNT ORDER
i want eight nuggets,7 13,12 20,ORDER_COUNT ORDER
i want nine sushi,7 12,11 17,ORDER_COUNT ORDER
can i get a burrito,12,19,ORDER
can i get one fried chicken,10 14,13 27,ORDER_COUNT ORDER
can i get two spaghetti,10 14,13 23,ORDER_COUNT ORDER
can i get three hamburger,10 16,15 25,ORDER_COUNT ORDER
can i get four sisig,10 15,14 20,ORDER_COUNT ORDER
can i get five milk tea,10 15,14 23,ORDER_COUNT ORDER
can i get six burrito,10 14,13 21,ORDER_COUNT ORDER
can i get seven pizza,10 16,15 21,ORDER_COUNT ORDER
can i get eight nuggets,10 16,15 23,ORDER_COUNT ORDER
can i get nine sushi,10 15,14 20,ORDER_COUNT ORDER
can we get one fried chicken,11 15,14 28,ORDER_COUNT ORDER
can we get two spaghetti,11 15,14 24,ORDER_COUNT ORDER
can we get three hamburger,11 17,16 26,ORDER_COUNT ORDER
can we get four sisig,11 16,15 21,ORDER_COUNT ORDER
can we get five milk tea,11 16,15 24,ORDER_COUNT ORDER
can we get six burrito,11 15,14 22,ORDER_COUNT ORDER
can we get seven pizza,11 17,16 22,ORDER_COUNT ORDER
can we get eight nuggets,11 17,16 24,ORDER_COUNT ORDER
can we get nine sushi,11 16,15 21,ORDER_COUNT ORDER
we need one fried chicken,8 12,11 25,ORDER_COUNT ORDER
we need two spaghetti,8 12,11 21,ORDER_COUNT ORDER
we need three hamburger,8 14,13 23,ORDER_COUNT ORDER
we need four sisig,8 13,12 18,ORDER_COUNT ORDER
we need five milk tea,8 13,12 21,ORDER_COUNT ORDER
we need six burrito,8 12,11 19,ORDER_COUNT ORDER
we need seven pizza,8 14,13 19,ORDER_COUNT ORDER
we need eight nuggets,8 14,13 21,ORDER_COUNT ORDER
we need nine sushi,8 13,12 18,ORDER_COUNT ORDER
we want one fried chicken,8 12,11 25,ORDER_COUNT ORDER
we want two spaghetti,8 12,11 21,ORDER_COUNT ORDER
we want three hamburger,8 14,13 23,ORDER_COUNT ORDER
we want four sisig,8 13,12 18,ORDER_COUNT ORDER
we want five milk tea,8 13 ,12 21,ORDER_COUNT ORDER
we want six burrito,8 12,11 19,ORDER_COUNT ORDER
we want seven pizza,8 14,13 19,ORDER_COUNT ORDER
we want eight nuggets,8 14,13 21,ORDER_COUNT ORDER
we want nine sushi,8 13,12 18,ORDER_COUNT ORDER
i need one fried chicken and one spaghetti,6 10 28 32,9 23 31 41,ORDER_COUNT ORDER ORDER_COUNT ORDER
i need two spaghetti and two fried chicken,6 10 24 28,9 19 27 41,ORDER_COUNT ORDER ORDER_COUNT ORDER
i need three hamburger and three milk tea,6 12 26 32,11 21 31 40,ORDER_COUNT ORDER ORDER_COUNT ORDER
i need four sisig and four sushi,6 11 21 26,10 16 25 31,ORDER_COUNT ORDER ORDER_COUNT ORDER
i need five nuggets and five hamburger,6 11 23 28,10 18 27 37,ORDER_COUNT ORDER ORDER_COUNT ORDER
i need six sisig and six burrito,6 10 20 24,9 15 23 31,ORDER_COUNT ORDER ORDER_COUNT ORDER
i need seven pizza and seven spaghetti,6 12 22 28,11 17 27 37,ORDER_COUNT ORDER ORDER_COUNT ORDER
i need eight sushi and eight nuggets,6 12 22 28,11 17 27 35,ORDER_COUNT ORDER ORDER_COUNT ORDER
i need nine pizza and nine fried chicken,6 11 21 26,10 16 25 39,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want one fried chicken and one spaghetti,6 10 28 32,9 23 31 40,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want two spaghetti and two fried chicken,6 10 24 28,9 19 27 41,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want three hamburger and three milk tea,6 12 26 32,11 21 31 40,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want four sisig and four sushi,6 11 21 26,10 16 25 31,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want five nuggets and five hamburger,6 11 21 26,10 18 25 35,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want six sisig and six burrito,6 10 20 24,9 15 23 31,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want seven pizza and seven spaghetti,6 12 22 28,11 17 27 37,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want eight sushi and eight nuggets,6 12 22 28,11 17 27 35,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want nine pizza and nine fried chicken,6 11 21 26,10 16 25 39,ORDER_COUNT ORDER ORDER_COUNT ORDER
we need one fried chicken and one spaghetti,8 12 30 34,11 24 33 43,ORDER_COUNT ORDER ORDER_COUNT ORDER
we need two spaghetti and two fried chicken,8 12 26 30,11 21 29 43,ORDER_COUNT ORDER ORDER_COUNT ORDER
we need three hamburger and three milk tea,8 14 28 34,13 23 33 42,ORDER_COUNT ORDER ORDER_COUNT ORDER
we need four sisig and four sushi,8 13 23 28,12 18 27 33,ORDER_COUNT ORDER ORDER_COUNT ORDER
we need five nuggets and five hamburger,8 13 25 30,12 20 29 39,ORDER_COUNT ORDER ORDER_COUNT ORDER
we need six sisig and six burrito,8 12 21 25,11 17 24 32,ORDER_COUNT ORDER ORDER_COUNT ORDER
we need seven pizza and seven spaghetti,8 14 24 30,13 19 29 39,ORDER_COUNT ORDER ORDER_COUNT ORDER
we need eight sushi and eight nuggets,8 14 24 30,13 19 29 37,ORDER_COUNT ORDER ORDER_COUNT ORDER
we need nine pizza and nine fried chicken,8 13 23 28,12 18 27 41,ORDER_COUNT ORDER ORDER_COUNT ORDER
we want one fried chicken and one spaghetti,8 12 30 34,11 25 33 43,ORDER_COUNT ORDER ORDER_COUNT ORDER
we want two spaghetti and two fried chicken,8 12 26 30,11 21 29 43,ORDER_COUNT ORDER ORDER_COUNT ORDER
we want three hamburger and three milk tea,8 14 28 34,13 23 33 42,ORDER_COUNT ORDER ORDER_COUNT ORDER
we want four sisig and four sushi,8 13 23 28,12 18 27 33,ORDER_COUNT ORDER ORDER_COUNT ORDER
we want five nuggets and five hamburger,8 13 25 30,12 20 29 39,ORDER_COUNT ORDER ORDER_COUNT ORDER
we want six sisig and six burrito,8 12 22 26,11 17 25 33,ORDER_COUNT ORDER ORDER_COUNT ORDER
we want seven pizza and seven spaghetti,8 14 24 30,13 19 29 39,ORDER_COUNT ORDER ORDER_COUNT ORDER
we want eight sushi and eight nuggets,8 14 24 30,13 19 29 37,ORDER_COUNT ORDER ORDER_COUNT ORDER
we want nine pizza and nine fried chicken,8 13 23 28,12 18 27 41,ORDER_COUNT ORDER ORDER_COUNT ORDER
can i get one fried chicken and one spaghetti,10 14 32 36,13 27 35 45,ORDER_COUNT ORDER ORDER_COUNT ORDER
can i get two spaghetti and two fried chicken,10 14 28 32,13 23 31 45,ORDER_COUNT ORDER ORDER_COUNT ORDER
can i get three hamburger and three milk tea,10 16 30 36,15 25 35 44,ORDER_COUNT ORDER ORDER_COUNT ORDER
